0,1,2,3,4,5,6,7,8,9,10,11,12
Hammered,Time: 11:00 AM to 01:00 AM ,"['Finger Food', 'Italian', 'North Indian']","Dineout Pay, Nightlife","2,000 for two people","Crispy Corn, Sangria, Chicken Satay, Cocktails, Wood Fire Pizza, Pasta, Masala Fries","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Hookah', 'Outdoor Seating', 'Roof Top', 'Live Screening']",1044 Votes,105 Reviews,4.3,,,
Raahi,Time: 12:00 PM to 11:30 PM ,['Fusion'],"Dineout Pay, Casual Dining","1,900 for two people","Mocktails, Cheesecake, Mushrooms, Peri Chicken, Wine, Drinks.","['Smoking Area', 'Lift', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",23 Votes,3 Reviews,4,,,
Sriracha,Time: 11:30 AM to 10:30 PM ,['Asian'],"Dineout Pay, Casual Dining","1,600 for two people","Steamed Open Buns, Sriracha Chicken, Crispy Shredded Potatoes, Char Siu, Roasted Chicken Dumplings, Burnt Garlic Basil Chicken Crystal Dumplings, Wild Mushroom Purple Dumplings, Chinese Cabbage & Pal Choy Dumplings.","['Air Conditioned', 'Lift', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating']",173 Votes,17 Reviews,4.4,,,
Shiro,Time: 12:00 PM to 11:30 PM ,"['Japanese', 'Asian']","Dineout Pay, Casual Dining","3,000 for two people","Thai Curry, Hot Pot, Sushi, Yaki Udon, Sushi/Sashimi, Maki Rolls, Dimsums, Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori.","['Smoking Area', 'Air Conditioned', 'Lift', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating', 'Private Dining Available', 'Live Screening']",337 Votes,42 Reviews,4.3,,,
1522 - The Pub,Time: 12:00 PM to 01:00 AM ,"['Continental', 'North Indian', 'Italian', 'Asian']","Dineout Pay, Nightlife","1,600 for two people","Mutton Rogan Josh, Mutton Naati, Shutter Fish Lamb, Mushrooms Lasange, Italian Spring Roll, Onion Rings.","['Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Outdoor Seating']",,,4.3,,,
No Limmits Lounge and Club,Time: 12:00 PM to 01:00 AM ,"['North Indian', 'Continental', 'Chinese']","Dineout Pay, Nightlife","1,900 for two people","Chicken Biryani, Pizza, Makhan Pulao, Burnt Garlic Noodles,  Fish in Manchurian Sauce","['Air Conditioned', 'DJ', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Dance Floor', 'Hookah', 'Live Screening', 'Wallet Accepted']",425 Votes,59 Reviews,3.7,,,
Just BLR,Time: 11:30 AM to 12:00 AM ,"['Italian', 'Fast Food', 'Continental', 'Chinese', 'North Indian', 'Beverages']","Dineout Pay, Nightlife","1,400 for two people","Cheese Burger, Chicken Wings,Crispy Chicken Fry, Pizza Pub, Peri Peri Chicken Skewer, Beer, Cocktail","['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Live Screening', 'Wallet Accepted']",6 Votes,3 Reviews,4.3,,,
Chutney Chang,Time:  (Opens at 07:00 PM)Sunday12:30 PM to 03:30 PMSunday07:00 PM to 11:00 PMMonday12:30 PM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday12:30 PM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday12:30 PM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday12:30 PM to 03:30 PMThursday07:00 PM to 11:00 PMFriday12:30 PM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday12:30 PM to 03:30 PMSaturday07:00 PM to 11:00 PM,"['Chinese', 'North Indian']","Dineout Pay, Casual Dining","1,500 for two people","Raj Kachori, Tawa Fish, Chocolate Wonton, Panshots, Chocolate Pudding","['Air Conditioned', 'Valet Available', 'Parking', 'Cards Accepted', 'Outdoor Seating']",325 Votes,61 Reviews,4.1,,,
Go Native,Time: 11:00 AM to 10:00 PM ,"['Health Food', 'South Indian', 'Beverages']","Cafe, Dineout Pay",800 for two people,"Cheesecake, Coffee, Pizza, Paneer Budha Bowl, Malai Broccoli.","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",9 Votes,No Reviews,4.6,,,
Tiamo,Time: 11:00 AM to 11:30 PM ,"['Mediterranean', 'Italian']","5 Star, Fine Dining, Dineout Pay","2,500 for two people","Mezze Platter, Garlic prawns “Gambass al Ajilo, ''Signature” Tiamo lamb burger, Grilled New Zealand lamb chops, Pan seared Norwegian Salmon, Pizza, Pasta, Ratatouille, Tiramisu, Wild Mushroom Risotto, Cocktails.","['Air Conditioned', 'Lift', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Poolside', 'Private Dining Available']",84 Votes,2 Reviews,4.2,,,
One Night in Bangkok,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 04:00 PMSunday07:00 PM to 01:00 AMTuesday12:00 PM to 04:00 PMTuesday07:00 PM to 01:00 AMWednesday12:00 PM to 04:00 PMWednesday07:00 PM to 01:00 AMThursday12:00 PM to 04:00 PMThursday07:00 PM to 01:00 AMFriday12:00 PM to 04:00 PMFriday07:00 PM to 01:00 AMSaturday12:00 PM to 04:00 PMSaturday07:00 PM to 01:00 AM,"['Thai', 'Asian']","Dineout Pay, Nightlife","2,500 for two people",,"['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Dance Floor', 'Private Dining Available', 'Live Screening', 'Wallet Accepted']",,,4.3,,,
Mainland China,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:00 PM,"['Chinese', 'Thai', 'Japanese', 'Asian']","Dineout Pay, Casual Dining","1,200 for two people","Hunan Tofu, Noodles, Jumbo Prawn, Chilli Chicken, Momos, Jasmine Tea","['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Live Screening']",248 Votes,30 Reviews,4.2,,,
Bengaluru Baking Company,Time: 11:00 AM to 11:00 PM ,"['Continental', 'Beverages', 'Desserts']","5 Star, Lounge, Cafe, Dineout Pay","4,000 for two people",,"['Air Conditioned', 'Valet Available', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,5,,,
SodaBottleOpenerWala,Time: 12:00 PM to 10:30 PM ,"['Parsi', 'Iranian']","Dineout Pay, Casual Dining","1,800 for two people","Vada Pav, Berry Pulav, Salli Chicken, Variety of Poros, Classic Akuri.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Wallet Accepted']",407 Votes,33 Reviews,4.3,,,
Jeeveshu Ahluwalia Live,Time: 11:00 AM to 11:30 PM ,['Fast Food'],QSR,200 for two people,,['Parking'],,,5,,,
FLO,Time: 12:00 PM to 01:00 AM ,"['North Indian', 'Asian', 'European', 'Continental', 'Japanese']","Dineout Pay, Nightlife","1,800 for two people",,"['Air Conditioned', 'DJ', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Dance Floor', 'Live Screening', 'Wallet Accepted']",,,4.2,,,
