0,1,2,3,4,5,6,7,8,9,10,11,12
Banana Leaf,Time:  (Opens at 06:30 PM)Sunday11:30 AM to 03:30 PMSunday06:30 PM to 11:00 PMMonday11:30 AM to 03:30 PMMonday06:30 PM to 11:00 PMTuesday11:30 AM to 03:30 PMTuesday06:30 PM to 11:00 PMWednesday11:30 AM to 03:30 PMWednesday06:30 PM to 11:00 PMThursday11:30 AM to 03:30 PMThursday06:30 PM to 11:00 PMFriday11:30 AM to 03:30 PMFriday06:30 PM to 11:00 PMSaturday11:30 AM to 03:30 PMSaturday06:30 PM to 11:00 PM,"['Andhra', 'North Indian']",Casual Dining,600 for two people,,,2 Votes,2 Reviews,3,,,
Rahham's International,Time:  (Opens at 06:30 PM)Sunday11:30 AM to 03:30 PMSunday06:30 PM to 10:00 PMMonday11:30 AM to 03:30 PMMonday06:30 PM to 10:00 PMTuesday11:30 AM to 03:30 PMTuesday06:30 PM to 10:00 PMWednesday11:30 AM to 03:30 PMWednesday06:30 PM to 10:00 PMThursday11:30 AM to 03:30 PMThursday06:30 PM to 10:00 PMFriday11:30 AM to 03:30 PMFriday06:30 PM to 10:00 PMSaturday11:30 AM to 03:30 PMSaturday06:30 PM to 10:00 PM,"['North Indian', 'Chinese']",Casual Dining,600 for two people,,"['Air Conditioned', 'Lift', 'Home Delivery', 'Cards Accepted']",2 Votes,1 Reviews,4,,,
White Horse Bar & Restaurant,Time: 11:30 AM to 11:00 PM ,"['North Indian', 'Chinese', 'Mughlai']",Casual Dining,800 for two people,,"['Serves Alcohol', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Live Screening']",2 Votes,1 Reviews,3.8,,,
XO Belgian Waffle,Time: 11:00 AM to 12:30 AM ,['Desserts'],QSR,300 for two people,,,8 Votes,2 Reviews,4.9,,,
Bira 91-  Limited Release Taproom,Time: 11:00 AM to 01:00 AM ,"['Finger Food', 'Italian']",Casual Dining,"1,300 for two people","Curry Bowls, Pizza, Tandoor and grills, Beer on Tap, Craft Cocktails.","['Smoking Area', 'Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",1 Votes,1 Reviews,4.8,,,
Baskin Robbins,Time: 10:00 AM to 10:00 PM ,['Desserts'],QSR,300 for two people,,,,,,,,
Natural Ice Cream,Time: 11:00 AM to 11:30 PM ,['Desserts'],QSR,300 for two people,"Coffee Walnut, Choco Cream","['Air Conditioned', 'Home Delivery', 'Cards Accepted']",1 Votes,No Reviews,5,,,
Aathuraas,Time:  (Opens at 06:30 PM)Sunday11:30 AM to 04:30 PMSunday06:30 PM to 11:30 PMMonday11:30 AM to 04:30 PMMonday06:30 PM to 11:30 PMTuesday11:30 AM to 04:30 PMTuesday06:30 PM to 11:30 PMWednesday11:30 AM to 04:30 PMWednesday06:30 PM to 11:30 PMThursday11:30 AM to 04:30 PMThursday06:30 PM to 11:30 PMFriday11:30 AM to 04:30 PMFriday06:30 PM to 11:30 PMSaturday11:30 AM to 04:30 PMSaturday06:30 PM to 11:30 PM,"['Chettinad', 'South Indian']",Casual Dining,600 for two people,,,5 Votes,2 Reviews,4,,,
Chocolateria San Churro,Time: 09:00 AM to 11:00 PM ,"['Italian', 'Thai']",Casual Dining,500 for two people,"Spicy Fries, Peri Peri Pizza, Stir Fried Vegetables, Chocolate Drink, Chilli Cheese Toast, Salsa.","['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",8 Votes,3 Reviews,4.5,,,
Raagam,Time: 09:00 AM to 11:00 PM ,"['North Indian', 'Chinese', 'South Indian']",Casual Dining,900 for two people,,,,,,,,
Five Star Chicken,Time: 10:00 AM to 10:00 PM ,['Fast Food'],QSR,300 for two people,,,,,,,,
Sathya's Family Bar & Restaurant,Time: 10:00 AM to 12:00 AM ,"['North Indian', 'Chinese']",Casual Dining,"1,200 for two people",,"['Smoking Area', 'Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating']",78 Votes,6 Reviews,4.5,,,
The Fiery Indian Kitchen,Time: 11:30 AM to 11:30 PM ,"['North Indian', 'Mughlai']",Casual Dining,600 for two people,,,,,,,,
Baskin Robbins,Time: 11:00 AM to 11:00 PM ,['Desserts'],QSR,300 for two people,"Oreo Cookie, Banana Royale","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",1 Votes,1 Reviews,3,,,
New Govind Rao Military Hotel,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:00 PMSunday07:00 PM to 10:30 PMMonday12:00 PM to 03:00 PMMonday07:00 PM to 10:30 PMTuesday12:00 PM to 03:00 PMTuesday07:00 PM to 10:30 PMWednesday12:00 PM to 03:00 PMWednesday07:00 PM to 10:30 PMThursday12:00 PM to 03:00 PMThursday07:00 PM to 10:30 PMFriday12:00 PM to 03:00 PMFriday07:00 PM to 10:30 PMSaturday12:00 PM to 03:00 PMSaturday07:00 PM to 10:30 PM,['South Indian'],QSR,400 for two people,,,,,,,,
Military Dhaba,Time: 12:00 PM to 11:00 PM ,"['Fast Food', 'North Indian']",Casual Dining,600 for two people,,['Wallet Accepted'],,,,,,
Just Bake,Time: 10:00 AM to 10:30 PM ,['Desserts'],"QSR, Bakery",400 for two people,,,,,,,,
South Point Pub,Time: 11:30 AM to 11:30 PM ,"['Chinese', 'North Indian', 'Seafood']",,900 for two people,,"['Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Full Bar Available']",,,,,,
Darbar,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'North Indian', 'Mughlai']",Casual Dining,800 for two people,,"['Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Live Screening']",36 Votes,5 Reviews,4.6,,,
A2B-Adyar Ananda Bhavan,Time: 08:00 AM to 11:00 PM ,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",Casual Dining,600 for two people,"Masala Dosa, Filtered Coffee, Raj Kachori, Masala Poori, Ghee Pongal, Idli, Vada Sambar","['Air Conditioned', 'Home Delivery', 'Cards Accepted']",3 Votes,2 Reviews,3.7,,,
Divina,Time: 11:00 AM to 11:00 PM ,['Desserts'],"QSR, Bakery",200 for two people,,,1 Votes,1 Reviews,3,,,
Corner House Ice Creams,Time: 11:00 AM to 11:30 PM ,['Desserts'],QSR,200 for two people,,,4 Votes,1 Reviews,4,,,
Ranganna Military Hotel,Time:  (Opens at 07:00 PM)Sunday07:30 AM to 03:30 PMSunday07:00 PM to 10:00 PMMonday07:30 AM to 03:30 PMMonday07:00 PM to 10:00 PMTuesday08:00 AM to 04:00 PMTuesday07:00 PM to 10:00 PMWednesday07:30 AM to 03:30 PMWednesday07:00 PM to 10:00 PMThursday07:30 AM to 03:30 PMThursday07:00 PM to 10:00 PMFriday07:30 AM to 03:30 PMFriday07:00 PM to 10:00 PMSaturday07:30 AM to 03:30 PMSaturday07:00 PM to 10:00 PM,['South Indian'],Casual Dining,500 for two people,,['Parking'],1 Votes,No Reviews,2.5,,,
Giselle Resto Cafe,Time: 11:30 AM to 10:30 PM ,"['Continental', 'Italian']",Cafe,"1,200 for two people","Pizza, Steak, Mocktails, Pancakes, Burgers, Wings, Pasta","['Parking', 'Cards Accepted', 'Outdoor Seating']",46 Votes,6 Reviews,4.3,,,
Fabelle Chocolates,Time: 11:00 AM to 10:00 PM ,['Desserts'],Cafe,800 for two people,,"['Air Conditioned', 'Lift', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",,,,,,
Kolkata Famous Kati Roll,Time: 10:00 AM to 11:00 PM ,['Fast Food'],QSR,200 for two people,,,1 Votes,No Reviews,5,,,
Polar Bear,Time: 11:00 AM to 11:00 PM ,['Desserts'],QSR,200 for two people,,,1 Votes,1 Reviews,3,,,
Marzipan Cafe & Bakery,Time: 10:00 AM to 07:00 PM ,"['Greek', 'Desserts']",Cafe,500 for two people,,"['Smoking Area', 'Wifi', 'Cards Accepted']",,,,,,
Urban Food Culture,Time: 12:00 PM to 11:00 PM ,"['Chinese', 'Fast Food']",QSR,500 for two people,,"['Air Conditioned', 'Home Delivery', 'Wallet Accepted']",1 Votes,1 Reviews,5,,,
Onix Cafe,Time: 11:00 AM to 11:00 PM ,"['Continental', 'Beverages']",Cafe,700 for two people,,"['Home Delivery', 'Hookah', 'Wallet Accepted']",,,,,,
Indian Kitchen,Time: 12:00 PM to 11:30 PM ,"['Mughlai', 'North Indian']",Casual Dining,"1,000 for two people",,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating']",147 Votes,10 Reviews,4.5,,,
Xian,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:00 PMSunday07:00 PM to 10:30 PMMonday12:00 PM to 03:00 PMMonday07:00 PM to 10:30 PMTuesday12:00 PM to 03:00 PMTuesday07:00 PM to 10:30 PMWednesday12:00 PM to 03:00 PMWednesday07:00 PM to 10:30 PMThursday12:00 PM to 03:00 PMThursday07:00 PM to 10:30 PMFriday12:00 PM to 03:00 PMFriday07:00 PM to 10:30 PMSaturday12:00 PM to 03:00 PMSaturday07:00 PM to 10:30 PM,"['Chinese', 'Thai']",Casual Dining,800 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Krispy Kreme,Time: 10:00 AM to 11:00 PM ,['Desserts'],QSR,500 for two people,,"['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",2 Votes,No Reviews,4.5,,,
Taza Tawa,Time: 12:00 PM to 11:00 PM ,"['Chinese', 'North Indian', 'Arabian']",Casual Dining,500 for two people,,,1 Votes,No Reviews,5,,,
Biryani And Pulao Collection By ITC Hotels,Time: 11:00 AM to 12:00 AM ,"['Biryani', 'Hyderabadi']",QSR,"1,500 for two people",,,,,,,,
Karavali Kolimane,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 04:00 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 04:00 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 04:00 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 04:00 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 04:00 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 04:00 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 04:00 PMSaturday07:00 PM to 11:00 PM,"['North Indian', 'Chinese', 'Seafood']",QSR,800 for two people,,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Roof Top Gastro Bar,Time:  (Opens at 07:00 PM)Sunday07:00 PM to 12:00 AMMonday07:00 PM to 12:00 AMTuesday07:00 PM to 12:00 AMWednesday07:00 PM to 12:00 AMThursday07:00 PM to 12:00 AMFriday07:00 PM to 12:00 AMSaturday07:00 PM to 12:00 AM,"['Continental', 'Finger Food', 'Chinese']",Casual Dining,"2,000 for two people",,"['Air Conditioned', 'Serves Alcohol', 'Cards Accepted']",,,,,,
McDonald's,Time: 08:00 AM to 11:00 PM ,"['Fast Food', 'Burger']",QSR,500 for two people,,"['Home Delivery', 'Wallet Accepted']",7 Votes,1 Reviews,4.4,,,
Roof Tap Beer & Kitchen,Time: 11:30 AM to 11:00 PM ,"['Finger Food', 'North Indian']","Casual Dining, Bar",800 for two people,,"['Serves Alcohol', 'Parking', 'Cards Accepted']",2 Votes,No Reviews,4.4,,,
Starbucks,Time: 10:00 AM to 11:00 PM ,"['Desserts', 'Fast Food']",Cafe,800 for two people,,"['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",17 Votes,No Reviews,4.4,,,
McDonald's,Time: 10:30 AM to 10:30 PM ,"['Fast Food', 'Burger']",QSR,500 for two people,,"['Home Delivery', 'Wallet Accepted']",3 Votes,1 Reviews,4.7,,,
Haji Ali Juice Centre,Time: 11:30 AM to 10:00 PM ,"['Fast Food', 'Beverages', 'Desserts']",QSR,400 for two people,"Faluda, Paneer Tikka Pizza, Sandwiches, Cream Mango, Custard Apple Cream, Veg Sandwich","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",2 Votes,2 Reviews,3,,,
On The Nose,Time: 11:00 AM to 11:00 PM ,['Mexican'],Cafe,500 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",1 Votes,No Reviews,5,,,
KFC,Time: 11:00 AM to 11:00 PM ,"['American', 'Fast Food', 'Burger']",QSR,600 for two people,,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",5 Votes,4 Reviews,3.8,,,
Yumlane Gourmet Pizza,Time: 11:00 AM to 11:00 PM ,"['Fast Food', 'Pizza']",QSR,600 for two people,,,,,,,,
The Café By Foodhall,Time: 10:00 AM to 10:00 PM ,"['Fast Food', 'Health Food']",Casual Dining,"1,200 for two people","Trio Of Mushroom, Southwestern Avocado,Paccheri Pimodoro, Crab Stick, Prawn Tempura Roll","['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Royce' Chocolate,Time: 11:00 AM to 09:00 PM ,['Desserts'],"QSR, Dessert Parlour","1,000 for two people",,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",,,,,,
New Kudla Family Restaurant,Time:  (Opens at 06:30 PM)Sunday12:00 PM to 04:00 PMSunday06:30 PM to 11:00 PMMonday12:00 PM to 04:00 PMMonday06:30 PM to 11:00 PMTuesday12:00 PM to 04:00 PMTuesday06:30 PM to 11:00 PMWednesday12:00 PM to 04:00 PMWednesday06:30 PM to 11:00 PMThursday12:00 PM to 04:00 PMThursday06:30 PM to 11:00 PMFriday12:00 PM to 04:00 PMFriday06:30 PM to 11:00 PMSaturday12:00 PM to 04:00 PMSaturday06:30 PM to 11:00 PM,"['North Indian', 'Chinese']",QSR,500 for two people,,"['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Chocolate Philosophy,Time: 09:00 AM to 06:00 PM ,['Desserts'],QSR,600 for two people,,"['Air Conditioned', 'Lift', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",,,,,,
Khan Saheb Grills and Rolls,Time: 12:30 PM to 11:00 PM ,"['North Indian', 'Fast Food']",QSR,500 for two people,"Chicken Tikka Roll, Veg Roll","['Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating']",12 Votes,1 Reviews,3.7,,,
Bangalore Pub Exchange,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Continental', 'Italian', 'Finger Food']","Casual Dining, Bar","1,900 for two people",,"['Air Conditioned', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Karaoke']",,,,,,
Bombay Kulfis,Time: 10:00 AM to 11:00 PM ,['Desserts'],QSR,200 for two people,,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",2 Votes,No Reviews,3,,,
McDonald's,Time: 09:00 AM to 11:00 PM ,"['Burger', 'Fast Food']",QSR,500 for two people,"Big Spicy Paneer Wrap, Spicy Chicken Wrap, Chicken Maharaja Mac, Peri Peri Fries, Burgers, French Fries","['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",6 Votes,No Reviews,4.3,,,
Hara Fine Dine,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:00 PM,"['North Indian', 'Chinese']",Casual Dining,800 for two people,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan","['Air Conditioned', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",193 Votes,33 Reviews,4.3,,,
Brewz Coffee,Time: 10:30 AM to 10:30 PM ,"['Fast Food', 'Tea']",Cafe,700 for two people,"French Fries, Cafe Latte, Chicken Tikka, Mac Chicken, Paneer Tikka.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Live Screening']",1 Votes,No Reviews,5,,,
Anand Sweets & Savouries,Time: 08:30 AM to 10:00 PM ,['Street Food'],QSR,200 for two people,,,8 Votes,8 Reviews,3.9,,,
Delicious Momos,Time: 11:00 AM to 11:00 PM ,['Chinese'],Casual Dining,400 for two people,"Momos, Pork Momo, Noodles, Chilli Chicken, BBQ Pork Ribs","['Home Delivery', 'Cards Accepted', 'Live Screening']",,,5,,,
The Rasoi,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Chinese', 'Hyderabadi']",Casual Dining,700 for two people,,,,,,,,
Polar Bear,Time: 11:00 AM to 11:00 PM ,['Desserts'],QSR,200 for two people,,,,,5,,,
Ujwal Bar & Restaurant,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Chinese', 'Seafood']","Casual Dining, Bar",800 for two people,"Sea Food, Tender Coconut Chicken, Pot Biryani, Prawn Ghee Roast, Fish Masala Fry, Neer Dosa","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Live Screening']",1 Votes,1 Reviews,3,,,
Domino's Pizza,Time: 11:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",QSR,500 for two people,,"['Parking', 'Cards Accepted']",2 Votes,2 Reviews,4,,,
Silsila - Silicrest Hotel,Time:  (Opens at 07:00 PM)Sunday08:00 AM to 11:00 AMSunday07:00 PM to 11:00 PMMonday08:00 AM to 11:00 AMMonday07:00 PM to 11:00 PMTuesday08:00 AM to 11:00 AMTuesday07:00 PM to 11:00 PMWednesday08:00 AM to 11:00 AMWednesday07:00 PM to 11:00 PMThursday08:00 AM to 11:00 AMThursday07:00 PM to 11:00 PMFriday08:00 AM to 11:00 AMFriday07:00 PM to 11:00 PMSaturday08:00 AM to 11:00 AMSaturday07:00 PM to 11:00 PM,"['North Indian', 'Chinese']",Casual Dining,700 for two people,"Paneer Butter Masala, Roti","['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",1 Votes,1 Reviews,3,,,
Cave N Dine,Time:  (Opens at 06:30 PM)Sunday11:00 AM to 04:00 PMSunday06:30 PM to 11:30 PMMonday11:00 AM to 04:00 PMMonday06:30 PM to 11:30 PMTuesday11:00 AM to 04:00 PMTuesday06:30 PM to 11:30 PMWednesday11:00 AM to 04:00 PMWednesday06:30 PM to 11:30 PMThursday11:00 AM to 04:00 PMThursday06:30 PM to 11:30 PMFriday11:00 AM to 04:00 PMFriday06:30 PM to 11:30 PMSaturday11:00 AM to 04:00 PMSaturday06:30 PM to 11:30 PM,"['North Indian', 'Chinese']",Casual Dining,"1,000 for two people",,"['Smoking Area', 'Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Live Screening']",148 Votes,40 Reviews,4,,,
Socialize,Time: 11:00 AM to 10:00 PM ,['Fast Food'],Cafe,"1,000 for two people",,"['Air Conditioned', 'Cards Accepted', 'Wallet Accepted']",3 Votes,1 Reviews,5,,,
Prakash Cafe,Time: 07:30 AM to 09:30 PM ,['South Indian'],QSR,500 for two people,,,,,,,,
Kamat Delicacy,Time: 07:00 AM to 10:30 PM ,"['South Indian', 'North Indian', 'Chinese']",Casual Dining,500 for two people,,,,,,,,
Domino's Pizza,Time: 11:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",QSR,500 for two people,,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",6 Votes,2 Reviews,4,,,
Blue Nile Coffee Shop,Time: 11:00 AM to 11:00 PM ,,Casual Dining,500 for two people,,"['Air Conditioned', 'Parking', 'Cards Accepted']",,,,,,
Chili's American Grill and Bar,Time: 12:00 PM to 10:00 PM ,"['American', 'Mexican', 'Tex Mex']",Casual Dining,"2,000 for two people","Back Back Ribs, Fajitas, Tacos, Molten Chocolate Cake, Crisp Chicken French Fries.","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",353 Votes,48 Reviews,4.1,,,
Chubalas Curry And Rice,Time: 12:00 PM to 11:00 PM ,"['Naga', 'North Eastern', 'Goan']",Casual Dining,500 for two people,,"['Wifi', 'Home Delivery', 'Cards Accepted', 'Live Screening']",1 Votes,1 Reviews,5,,,
Park View,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Chinese', 'Seafood']",Casual Dining,800 for two people,"Sea Food, Biryani, Neer Dosa, Curd Rice","['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted']",3 Votes,1 Reviews,3.7,,,
Nesara Mullti - Cuisine Family Dining & Garden,Time: 08:00 AM to 10:00 PM ,"['Chinese', 'Mughlai', 'North Indian', 'South Indian']",Casual Dining,800 for two people,,"['Home Delivery', 'Cards Accepted']",1 Votes,No Reviews,4.5,,,
UBQ by Barbeque Nation,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Mughlai']",QSR,400 for two people,,"['Home Delivery', 'Cards Accepted']",,,,,,
Woody's,Time: 08:00 AM to 11:00 PM ,"['South Indian', 'Chinese', 'North Indian']",Casual Dining,600 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating']",2 Votes,1 Reviews,4,,,
Cafe Coffee Day,Time: 11:00 AM to 11:00 PM ,"['Beverages', 'Fast Food']",Cafe,900 for two people,"Devils Own, Chilli Cheese Toast, Cold Dark Frappe, Spinach 'N' Corn Chipotle Sandwich, Cocoa Fantasy Pastry.","['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",2 Votes,No Reviews,5,,,
The Irish House,Time: 12:00 PM to 12:30 AM ,"['Finger Food', 'American', 'European']","Casual Dining, Bar","2,000 for two people","Drinks, Beers, Cocktail, Fish.","['Air Conditioned', 'Lift', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Full Bar Available']",,,,,,
Alfa Restaurant,Time:  (Opens at 07:00 PM)Sunday11:00 AM to 03:30 PMSunday07:00 PM to 11:00 PMMonday11:00 AM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday11:00 AM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday11:00 AM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday11:00 AM to 03:30 PMThursday07:00 PM to 11:00 PMFriday11:00 AM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday11:00 AM to 03:30 PMSaturday07:00 PM to 11:00 PM,"['North Indian', 'Chinese']",Casual Dining,400 for two people,,"['Home Delivery', 'Parking', 'Cards Accepted']",,,,,,
McDonald's,Time: 10:30 AM to 10:30 PM ,"['Fast Food', 'Burger']","QSR, Food Court",500 for two people,,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted']",9 Votes,1 Reviews,4,,,
By 2 Coffee,Time: 04:00 PM to 09:30 PM ,['South Indian'],QSR,200 for two people,,,,,,,,
Chikkanna Tiffin Room,Time: 04:30 PM to 10:00 PM ,['South Indian'],QSR,200 for two people,,,,,,,,
Bombay Kulfi,Time: 02:00 PM to 12:00 AM ,['Desserts'],QSR,200 for two people,,,,,,,,
The Corner,Time: All Day Dining ,"['Health Food', 'Beverages']",Cafe,"1,000 for two people",,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Pizza Hut,Time: 11:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",QSR,800 for two people,,"['Cards Accepted', 'Wallet Accepted']",2 Votes,1 Reviews,4,,,
Dev Sagar,Time: 02:00 PM to 11:00 PM ,['Street Food'],QSR,400 for two people,,,,,,,,
Ovenstory Pizza,Time: 11:00 AM to 01:00 AM ,"['Italian', 'Pizza']",QSR,800 for two people,,,,,,,,
A2B-Adyar Ananda Bhavan,Time: 07:00 AM to 11:00 PM ,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",Casual Dining,600 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted']",7 Votes,3 Reviews,4.3,,,
Uttarkhand,Time:  (Opens at 07:00 PM)Sunday07:00 AM to 10:30 AMSunday11:30 AM to 03:30 PMSunday07:00 PM to 11:00 PMMonday07:00 AM to 10:30 AMMonday11:30 AM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday07:00 AM to 10:30 AMTuesday11:30 AM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday07:00 AM to 10:30 AMWednesday11:30 AM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday07:00 AM to 10:30 AMThursday11:30 AM to 03:30 PMThursday07:00 PM to 11:00 PMFriday07:00 AM to 10:30 AMFriday11:30 AM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday07:00 AM to 10:30 AMSaturday11:30 AM to 03:30 PMSaturday07:00 PM to 11:00 PM,"['North Indian', 'Chinese', 'Continental']",Casual Dining,800 for two people,,,,,,,,
Indraprastha Restaurant,Time: 07:00 AM to 11:00 PM ,"['South Indian', 'North Indian', 'Chinese']",Casual Dining,500 for two people,,"['Air Conditioned', 'Cards Accepted']",2 Votes,No Reviews,4,,,
Main Street,Time: 11:00 AM to 11:30 PM ,"['Chinese', 'Fast Food', 'Italian']",Casual Dining,800 for two people,,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",1 Votes,No Reviews,5,,,
Banana Leaf - Nandhana Palace,Time: 11:00 AM to 11:00 PM ,"['Andhra', 'North Indian', 'Chinese']",Casual Dining,800 for two people,,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",1 Votes,1 Reviews,5,,,
New Gongura Grand,Time:  (Opens at 06:30 PM)Sunday11:30 AM to 04:00 PMSunday06:30 PM to 11:00 PMMonday11:30 AM to 04:00 PMMonday06:30 PM to 11:00 PMTuesday11:30 AM to 04:00 PMTuesday06:30 PM to 11:00 PMWednesday11:30 AM to 04:00 PMWednesday06:30 PM to 11:00 PMThursday11:30 AM to 04:00 PMThursday06:30 PM to 11:00 PMFriday11:30 AM to 04:00 PMFriday06:30 PM to 11:00 PMSaturday11:30 AM to 04:00 PMSaturday06:30 PM to 11:00 PM,['North Indian'],Casual Dining,400 for two people,"Andhra Thali, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita, Tandoori Roti","['Air Conditioned', 'Home Delivery', 'Cards Accepted']",1 Votes,No Reviews,5,,,
20 Char,Time: 12:00 PM to 11:00 PM ,"['Chinese', 'Continental', 'North Indian', 'South Indian']","5 Star, Casual Dining","2,000 for two people",,"['Air Conditioned', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",2 Votes,1 Reviews,3.5,,,
Domino's Pizza,Time: 11:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",QSR,500 for two people,"Pizza, Chicken Pocket, Garlic Bread","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",2 Votes,1 Reviews,3.7,,,
