Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
Maserati GranCabrio,"4,55,537",2.68 Crore,12 kmpl ,4691 cc ,Automatic ,Petrol ,₹ 2.68 Crore ,4881,2942,173,1915,6.1,86,1353,128," Bianco Birdcage, Bianco Fuji, Blu Assoluto, Blu Inchiostro, Blu Sofisticato, Giallo Granturismo, Grigio Alfieri, Grigio Granito, Grigio Lava, Grigio Pietra, Nero, Nero Carbonio, Rosso Italiano, Rosso Magma, Rosso Mondiale, Rosso Trionfale ",4,4691, 460 BHP@7000 RPM,520 NM @4750 RPM,31,301 km/h
Bentley Bentayga,"6,96,904",4.1 Crore,8 kmpl ,3996 cc ,Automatic ,Petrol ,₹ 4.1 Crore ,5125,2995,484,2222, - ,85,1728, - ," Alpine Green, Beluga, Dark Sapphire, Glacier White, Moonbeam, St.James Red , Thunder ",5,3996, 542 BHP@6000 RPM,770 NM @2000 RPM,12,290 Km/h
MINI Cooper,"50,823",35.06 Lakh,16 - 19 kmpl ,1998 cc ,Automatic ,Petrol ,₹ 35.06 - 43.9 Lakh ,3850,2495,211,1727, - ,44,1414, - ," Carbon Black , Chilli Red, Electric Blue, Emerald Grey, Glowing Red, Malt Brown , Melting Silver, Midnight Black, Pepper White, Satellite Grey, Solaris Orange, Starlight Blue, Thunder Grey, White Silver ",4,1998, 228 BHP,320 NM @1450 RPM,30,265 km/h
MINI Countryman,"63,572",39.5 Lakh,14 kmpl ,1998 cc ,Automatic ,Petrol ,₹ 39.5 - 43.4 Lakh ,4299,2670,450,1822,12,47,1557,165," Chilli Red, Island Blue, Midnight Black, Sage Green, White Silver ",5,1998, 189 BHP,280 NM @1350 RPM,10,225 km/h
MINI Cooper Convertible,"68,161",40.01 Lakh,19 kmpl ,1998 cc ,Automatic ,Petrol ,₹ 40.01 Lakh ,3821,2495, - ,1727, - ,44,1415, - ," Carbon Black	, Glowing Red	, Malt Brown	, Satellite Grey	 ",4,1998, 189 BHP,280 NM @1250 RPM,11,230 Km/h
MINI Clubman,"71,221",41.9 Lakh,13 kmpl ,1998 cc ,Automatic ,Petrol ,₹ 41.9 Lakh ,3850,2495,211,1727, - ,44,1414, - ," British Racing Green, Chilli Red, Enigmatic Black, Melting Silver, Midnight Black, Moonwalk Grey, Pepper White, Starlight Blue, Thunder Grey, White Silver ",4,1998, 189 BHP,280 NM @1250 RPM,21,238 km/h
Toyota Glanza,"12,210",7.18 Lakh,19 - 24 kmpl ,1197 cc ,"Manual, Automatic ","Petrol, Hybrid ",₹ 7.18 - 9.1 Lakh ,3995,2520,339,1745,4.9,37,1510, - ," Cafe White, Enticing Silver, Gaming Grey, Insta Blue, Sportin Red ",5,1197, 89 BHP@6000 RPM,113 NM @4400 RPM,10,180 Km/h
Toyota Urban Cruiser,"14,448",8.5 Lakh,17 - 19 kmpl ,1462 cc ,"Manual, Automatic ",Petrol ,₹ 8.5 - 11.35 Lakh ,3995,2500,328,1790,5.2,48,1640,198," Gorrvy Orange / Sunny White Roof	, Groovy Orange, Iconic Grey, Rustic Brown, RusticBrownwith Sizzling Black Roof, Spunky Blue, SpunkyBlue/SizzlingBlackRoof, Suave Silver, Sunny White ",5,1462, 103 BHP@6000 RPM,138 NM @4400 RPM,24,170 km/h
Toyota Yaris,"15,570",9.16 Lakh,17 - 18 kmpl ,1496 cc ,"Manual, Automatic ",Petrol ,₹ 9.16 - 14.6 Lakh ,4425,2550,476,1730,5.1,42,1495, - ," Attitude Black, Pearl White, Phantom Brown, Silver, Super White, Wildfire Red, WildfireRed/ Attitude Black ",5,1496, 106 BHP@6000 RPM,140 NM @4200 RPM,14,230 km/h
Toyota Innova Crysta,"28,081",16.52 Lakh,11-16 kmpl,2393 to 2694 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 16.52 - 24.43 Lakh ,4735,2750, - ,1830,5.4,55,1795,176," Avant Grade Bronze, Garnet Red, Grey, Silver, Sparkling Black Crystal Shine, Super White, White Pearl Crystal Shine ",7,2393, 148 BHP@3400 RPM,343 NM @1400 RPM,17,179 km/h
Toyota Fortuner,"51,571",30.34 Lakh,7-10 kmpl,2694 to 2755 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 30.34 - 38.3 Lakh ,4795,2745,296,1855,5.8,80,1835,225," Attitude Black, Avant-Garde Bronze, Phantom Brown, Sparkling Black Cystal Shine, Super White ",7,2694, 164 BHP@5200 RPM,245 NM @4000 RPM,12,185 km/h
Toyota Camry,"68,994",40.59 Lakh,19 kmpl ,2487 cc ,Automatic ,Hybrid ,₹ 40.59 Lakh ,4885,2825,587,1840,5.8,50,1455, - ," Attitude Black, Burning Black, Graphite, Phantom Brown, Platinum White, Platinum White Pearl, Red Mica, Silver ",5,2487, 176 BHP@5700 RPM,221 NM @3600 RPM,15,200 Km/h
Toyota Vellfire,"1,47,880",87 Lakh,16 kmpl ,2494 cc ,Automatic ,Hybrid ,₹ 87 Lakh ,4935,3000, - ,1850, - ,58,1895, - ," Black, Burning Black, Graphite, Pearl White ",7,2494, 115 BHP@4700 RPM,198 NM @2800 RPM,6,170 km/h
MG Hector,"22,400",13.18 Lakh,12 - 16 kmpl,1451 to 1956 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 13.18 - 19.06 Lakh ,4655,2750,587,1835, - ,60,1760, - ," Aurora Silver, Burgundy Red, Candy White, CandyyWhitewith Starry Black, Glaze Red, GlazeRedwithStarryBlack, Starry Black, Starry Sky Blue ",5,1451, 141 BHP@5000 RPM,250 NM @1600 RPM,17,195 km/h
MG Hector Plus,"23,165",13.63 Lakh,14 - 16 kmpl ,1451 to 1956 cc ,Manual ,"Petrol, Diesel ",₹ 13.63 - 19.81 Lakh ,4720,2750,587,1835, - ,60,1760,192," Aurora Silver, Burgundy Red, Candy White, Candy White With Starry Black, Glaze Red, Glaze Red With Starry Black, Starry Black, Starry Sky Blue ",7,1956, 168 BHP@3750 RPM,350 NM @1750 RPM,23,195 km/h
MG ZS EV,"35,492",21 Lakh,340 km,,Manual ,Electric ,₹ 21 - 24.18 Lakh ,4314,2585,448,1809, - ,5,1620,177," Copenhagen, Currant, Ferris White ",5, - , -,- ,4,140 km/h
